pin_code,state,district,raw_ltm_rainfall_mm,raw_cdd_p90_days,raw_deficit_freq_pct,raw_trend_mm_per_decade,trend_direction,trend_significant,mk_pval,data_source,nn_pincodes_used,nn_max_dist_km,pet_mm,aridity_index,chirps_ltm_mm,chirps_deficit_pct,chirps_monsoon_conc,chirps_trend_mm_yr,chirps_trend_pval,norm_aridity_index,norm_ltm_rainfall,norm_deficit_freq,norm_cdd_p90,norm_monsoon_conc,norm_trend,drought_score,risk_level
110097,Delhi,South West,718.0,83.0,22.73,30.3,Strong Wetting,False,0.1538,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.84,78.47,50.0,68.04,Very High
110099,Delhi,North West,693.8,75.5,23.71,42.31,Strong Wetting,False,0.0832,nearest_neighbour,"[110086, 110083, 110085]",3.4,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.0,78.47,50.0,67.16,Very High
110110,Delhi,North West,707.9,76.9,23.71,42.88,Strong Wetting,False,0.0824,nearest_neighbour,"[110085, 110083, 110034]",2.7,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.09,78.47,50.0,67.32,Very High
121001,Haryana,Faridabad,747.5,81.1,15.91,38.59,Strong Wetting,False,0.0527,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,31.36,75.03,50.0,69.41,Very High
121002,Haryana,Faridabad,757.6,82.3,17.5,42.84,Strong Wetting,True,0.0426,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,32.3,75.03,50.0,69.55,Very High
121003,Haryana,Faridabad,765.1,80.0,17.53,42.45,Strong Wetting,True,0.0418,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,30.51,75.03,50.0,69.28,Very High
121004,Haryana,Faridabad,734.7,81.3,18.11,37.0,Strong Wetting,False,0.0859,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,31.52,75.03,50.0,69.43,Very High
121005,Haryana,Faridabad,741.8,81.1,16.48,36.3,Strong Wetting,False,0.0721,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,31.36,75.03,50.0,69.41,Very High
121006,Haryana,Faridabad,748.5,80.2,15.91,39.6,Strong Wetting,True,0.0463,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,30.66,75.03,50.0,69.31,Very High
121007,Haryana,Faridabad,751.6,80.8,15.91,41.42,Strong Wetting,True,0.0452,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,31.13,75.03,50.0,69.38,Very High
121008,Haryana,Faridabad,754.6,81.4,15.91,43.24,Strong Wetting,True,0.0441,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,31.6,75.03,50.0,69.45,Very High
121009,Haryana,Faridabad,768.1,79.8,19.32,42.3,Strong Wetting,True,0.0377,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,30.35,75.03,50.0,69.26,Very High
121010,Haryana,Faridabad,768.1,79.8,19.32,42.3,Strong Wetting,True,0.0377,polygon_zonal_stats,,,1740,0.3459,601.86,26.187,81.32,3.8795,0.1057,95.59,92.03,85.4,30.35,75.03,50.0,69.26,Very High
